Enrichment,Pitch,FuelRad,FuelTemp,ModTemp,ModDens,Keff
8.25,1.356,0.565,1763.5,411.2,0.936,1.30077
1.12,1.979,0.232,1680.7,349.8,0.98,0.46379
6.85,1.988,0.212,898.8,446.2,0.903,1.17395
3.72,1.09,0.363,1261.0,339.9,0.986,1.38238
5.95,1.075,0.397,937.7,302.2,1.002,1.39313
5.07,1.397,0.478,1718.4,461.4,0.887,1.41548
8.24,1.583,0.428,844.4,386.5,0.955,1.60641
6.5,1.496,0.443,465.4,400.4,0.945,1.5637
4.08,1.407,0.379,737.9,412.3,0.935,1.47408
1.35,1.443,0.568,1239.4,564.7,0.742,1.01673
4.74,1.674,0.274,1306.5,495.8,0.848,1.36736
3.54,1.549,0.306,1693.1,447.6,0.902,1.34322
1.82,1.954,0.805,1126.3,562.0,0.748,1.08515
5.21,1.637,0.213,736.4,498.4,0.844,1.26274
8.88,1.336,0.38,302.8,302.2,1.002,1.61834
7.73,1.673,0.749,315.2,311.5,0.999,1.30617
2.85,1.892,0.566,923.6,476.5,0.871,1.38604
1.85,1.162,0.354,1718.1,367.0,0.969,1.2212
7.92,1.935,0.432,1397.6,362.1,0.973,1.58899
1.0,1.742,0.554,383.2,334.1,0.989,1.05144
6.3,1.685,0.456,796.0,353.5,0.978,1.56927
8.75,1.22,0.226,1047.5,363.6,0.972,1.58197
3.74,1.679,0.224,1473.5,470.5,0.877,1.11899
7.42,1.522,0.356,378.2,339.1,0.986,1.60146
6.74,1.732,0.585,971.1,500.7,0.841,1.49023
2.87,1.843,0.686,1482.2,577.8,0.716,1.24996
7.76,1.321,0.568,374.9,304.6,1.002,1.31933
8.48,1.431,0.459,1055.6,356.5,0.976,1.55015
5.07,1.318,0.302,382.4,343.1,0.984,1.51522
1.95,1.148,0.371,789.7,351.1,0.98,1.25403
4.29,1.767,0.429,1400.0,551.4,0.767,1.47652
3.94,1.142,0.243,787.8,331.2,0.991,1.41051
6.96,1.38,0.591,1321.0,320.2,0.996,1.27333
7.09,1.787,0.27,797.4,471.4,0.876,1.45202
1.03,1.639,0.335,650.6,488.2,0.857,0.86411
8.57,1.895,0.425,1490.2,422.2,0.926,1.6076
4.99,1.366,0.391,1545.5,531.3,0.799,1.47478
4.34,1.105,0.335,807.2,551.1,0.767,1.42325
1.25,1.357,0.345,892.5,305.3,1.001,1.04638
1.74,1.905,0.25,1246.2,543.7,0.78,0.7992
6.61,1.614,0.215,968.8,524.2,0.81,1.38104
1.45,1.193,0.29,364.1,314.9,0.998,1.09813
4.02,1.247,0.528,939.9,515.1,0.822,1.15042
8.52,1.188,0.315,1501.7,355.5,0.977,1.58868
5.71,1.748,0.698,495.2,347.2,0.982,1.39616
3.71,1.022,0.337,781.2,356.0,0.977,1.39195
6.46,1.841,0.255,407.1,319.2,0.996,1.31951
7.72,1.393,0.597,759.0,494.8,0.849,1.26995
5.6,1.07,0.291,1369.4,528.7,0.803,1.49355
8.84,1.503,0.346,1791.8,440.0,0.909,1.60916
6.81,1.305,0.386,588.5,302.6,1.002,1.56321
8.94,1.863,0.606,1122.3,493.9,0.85,1.54637
7.43,1.023,0.228,1660.7,404.2,0.941,1.56791
1.16,1.389,0.46,829.7,515.1,0.822,1.07766
5.72,1.457,0.516,1007.9,360.1,0.974,1.45096
6.13,1.836,0.334,395.9,370.5,0.967,1.47837
3.77,1.777,0.578,508.6,328.5,0.992,1.45732
4.5,1.902,0.259,1694.9,355.1,0.977,1.16245
2.64,1.319,0.302,490.3,327.1,0.993,1.30752
6.38,1.053,0.384,1535.3,388.6,0.954,1.37876
5.06,1.63,0.647,1316.1,512.6,0.826,1.30131
4.88,1.599,0.338,398.7,390.8,0.952,1.48316
8.97,1.423,0.301,1114.3,408.0,0.938,1.61396
5.39,1.802,0.461,518.7,452.4,0.897,1.54614
2.69,1.98,0.298,1701.9,569.4,0.733,1.11862
5.07,1.468,0.502,813.0,417.1,0.93,1.45425
4.5,1.999,0.797,1232.7,511.8,0.827,1.31051
6.74,1.172,0.511,816.6,448.9,0.9,1.2042
8.86,1.824,0.373,797.4,591.5,0.683,1.62628
6.51,1.379,0.223,1320.1,592.7,0.68,1.50798
6.97,1.023,0.301,1009.5,451.6,0.898,1.52062
3.03,1.657,0.395,1786.8,597.4,0.667,1.37481
5.2,1.754,0.665,1112.8,463.3,0.885,1.38355
7.92,1.198,0.487,1116.9,340.6,0.986,1.33431
5.07,1.219,0.205,1212.2,414.1,0.933,1.39229
4.05,1.508,0.4,1020.2,472.9,0.875,1.46719
6.52,1.992,0.598,875.7,313.9,0.998,1.56588
8.53,1.497,0.493,797.5,529.2,0.802,1.51076
4.76,1.93,0.522,1051.8,398.7,0.946,1.51164
7.87,1.137,0.203,1355.2,531.7,0.798,1.56411
6.85,1.434,0.604,954.1,488.2,0.857,1.27244
3.39,1.649,0.718,1409.7,363.9,0.971,1.16498
8.39,1.994,0.272,399.9,381.1,0.959,1.40669
1.4,1.13,0.492,383.7,310.9,1.0,0.97424
3.75,1.691,0.774,1624.6,345.2,0.983,1.09516
1.32,1.194,0.243,1263.1,480.8,0.866,0.96367
8.83,1.534,0.666,334.9,301.6,1.003,1.35179
4.88,1.844,0.688,1404.8,327.8,0.992,1.41251
7.98,1.943,0.746,1753.2,422.1,0.926,1.43091
4.03,1.771,0.247,728.0,567.2,0.738,1.24937
6.54,1.689,0.477,1313.6,399.0,0.946,1.55871
6.76,1.717,0.642,798.1,430.8,0.918,1.44324
6.03,1.916,0.301,1623.1,518.3,0.818,1.42737
5.85,1.936,0.842,477.4,408.0,0.938,1.30176
4.36,1.206,0.279,1318.0,542.4,0.782,1.46331
8.08,1.557,0.675,1302.2,518.1,0.818,1.25201
5.45,1.276,0.292,489.0,459.3,0.89,1.53409
3.12,1.739,0.737,783.0,355.2,0.977,1.22279
2.0,1.921,0.245,1792.4,379.4,0.961,0.75801
5.02,1.796,0.722,1692.3,419.3,0.928,1.32249
5.33,1.335,0.332,1789.2,451.0,0.898,1.51055
8.6,1.617,0.288,1137.8,382.9,0.958,1.55732
2.77,1.652,0.302,1217.3,406.3,0.94,1.19903
2.88,1.219,0.234,1343.1,371.8,0.966,1.24451
4.27,1.063,0.309,1381.6,541.9,0.782,1.42051
2.59,1.996,0.491,636.5,421.4,0.927,1.33224
2.89,1.838,0.76,793.7,396.7,0.948,1.23924
1.11,1.915,0.708,1621.5,561.6,0.748,1.02724
8.29,1.9,0.404,800.6,508.6,0.831,1.61133
8.91,1.496,0.453,1716.1,498.7,0.844,1.54588
4.57,1.883,0.484,736.8,356.7,0.976,1.503
2.28,1.158,0.313,1238.9,521.4,0.814,1.28751
8.45,1.332,0.211,1066.8,450.4,0.899,1.52982
6.45,1.829,0.78,1496.5,591.7,0.683,1.2123
8.08,1.284,0.554,826.3,318.8,0.996,1.28838
5.36,1.479,0.259,1718.5,393.5,0.95,1.41695
8.99,1.562,0.312,516.5,324.3,0.994,1.60563
8.41,1.828,0.337,1777.1,522.3,0.812,1.57931
7.05,1.59,0.584,1534.5,474.8,0.873,1.42111
8.32,1.698,0.596,1511.4,477.8,0.869,1.47957
2.72,1.581,0.58,745.8,593.3,0.678,1.24245
6.84,1.73,0.35,1184.1,377.2,0.962,1.54128
5.57,1.285,0.465,1361.8,583.5,0.703,1.32872
7.0,1.216,0.257,1743.5,516.2,0.821,1.55808
8.12,1.355,0.547,764.1,327.4,0.992,1.37988
2.42,1.888,0.375,556.1,341.4,0.985,1.1869
5.55,1.793,0.43,536.3,435.1,0.914,1.54574
6.2,1.626,0.255,1454.1,374.4,0.964,1.39925
4.79,1.804,0.519,354.4,302.9,1.002,1.5274
2.69,1.24,0.297,614.6,380.6,0.96,1.33131
1.51,1.01,0.324,1122.0,398.4,0.946,1.15085
1.89,1.827,0.791,1460.7,512.8,0.826,1.0372
4.9,1.982,0.696,1036.1,462.5,0.886,1.44664
