Enrichment,Pitch,FuelRad,FuelTemp,ModTemp,ModDens,Keff,Std_dev
6.61,1.206,0.459,468.3,324.6,0.994,1.41376,0.00041
8.97,1.474,0.262,1722.5,475.7,0.872,1.57958,0.00038
1.28,1.457,0.467,1302.9,413.0,0.934,1.11484,0.00035
8.74,1.124,0.381,498.3,384.5,0.957,1.51283,0.0004
2.04,1.043,0.339,1595.6,372.3,0.966,1.23512,0.00043
7.49,1.936,0.579,528.1,316.6,0.997,1.59442,0.00038
2.02,1.252,0.441,1536.7,577.6,0.716,1.16732,0.00044
2.42,1.187,0.35,567.3,445.3,0.904,1.32882,0.00045
2.79,1.636,0.229,1277.3,507.3,0.833,1.04686,0.00035
8.61,1.015,0.364,882.2,347.6,0.982,1.44623,0.00041
3.74,1.475,0.551,431.8,361.0,0.973,1.37496,0.00041
2.1,1.214,0.514,1776.4,401.9,0.943,1.04686,0.00038
4.48,1.169,0.304,967.9,421.6,0.926,1.48248,0.0004
1.58,1.1,0.284,615.3,326.9,0.993,1.15275,0.00038
2.95,1.998,0.769,557.4,472.7,0.875,1.31381,0.00042
1.22,1.781,0.422,1087.0,551.9,0.766,1.03833,0.00031
2.52,1.867,0.3,1431.0,453.3,0.896,1.07635,0.00039
6.22,1.534,0.691,734.7,535.8,0.792,1.1671,0.0004
3.75,1.515,0.535,1544.2,465.8,0.883,1.36055,0.00042
1.87,1.757,0.202,1788.1,478.1,0.869,0.68679,0.00027
5.0,1.287,0.406,811.8,551.4,0.767,1.44468,0.00046
6.02,1.414,0.297,1148.0,547.8,0.773,1.54018,0.0004
7.96,1.498,0.206,670.8,584.7,0.7,1.5045,0.00037
1.42,1.826,0.202,1252.0,584.9,0.699,0.61963,0.00025
5.64,1.93,0.585,860.0,573.3,0.725,1.5051,0.00038
7.92,1.918,0.452,465.6,435.6,0.913,1.61548,0.00036
5.76,1.425,0.542,366.4,333.5,0.989,1.42569,0.00038
3.57,1.618,0.571,1690.2,410.4,0.936,1.36694,0.00041
4.1,1.874,0.342,420.8,336.8,0.988,1.33997,0.00043
2.17,1.394,0.527,1654.0,380.5,0.96,1.20793,0.00045
3.93,1.648,0.643,434.0,370.4,0.967,1.35759,0.00039
6.25,1.631,0.466,1038.2,543.2,0.78,1.53333,0.00032
8.4,1.12,0.414,429.0,404.6,0.941,1.44451,0.00039
6.56,1.427,0.415,1157.2,423.6,0.925,1.5436,0.00039
8.0,1.975,0.528,332.4,306.7,1.001,1.61985,0.00038
