,Enrichment,Pitch,FuelRad,FuelTemp,ModTemp,ModDens,Keff,Std_dev,time_taken
2266,1.05,1.842,0.299,1365.8,588.8,0.69,0.77359,0.00062,24.266847
2267,8.7,1.919,0.295,381.3,569.1,0.734,1.55877,0.00087,13.752042
2268,1.08,1.642,0.314,774.3,358.5,0.975,0.80864,0.00064,20.674402
2269,4.38,1.484,0.203,833.6,439.5,0.91,1.20413,0.00092,19.473724
2270,7.96,1.238,0.405,874.8,359.4,0.974,1.51881,0.00094,14.182337
2271,5.1,1.227,0.438,1754.4,418.3,0.929,1.37488,0.0009,16.502153
2272,7.63,1.955,0.266,1169.1,468.5,0.88,1.40128,0.00094,15.968467
2273,1.02,1.662,0.544,1596.3,453.9,0.895,1.03194,0.00084,18.086808
2274,8.92,1.15,0.387,1737.9,578.9,0.713,1.40925,0.00085,15.571116
2275,8.65,1.329,0.506,1558.7,498.7,0.844,1.37246,0.00083,15.995501
2276,8.87,1.14,0.301,1021.9,346.0,0.983,1.59524,0.00077,13.0842
2277,2.47,1.876,0.617,844.7,312.6,0.999,1.34572,0.00088,13.02099
2278,4.52,1.236,0.479,1453.6,564.2,0.743,1.23375,0.00086,17.341722
2279,4.65,1.436,0.583,1365.7,421.0,0.927,1.27135,0.00103,15.989196
2280,6.6,1.74,0.347,1008.2,385.8,0.956,1.52701,0.00091,12.83336
2281,7.13,1.689,0.336,399.9,374.4,0.964,1.5523,0.0009,12.798716
2282,8.41,1.221,0.285,1740.6,598.8,0.663,1.56543,0.00091,14.175246
2283,5.52,1.317,0.48,750.1,593.7,0.677,1.32952,0.00088,16.615353
2284,4.88,1.496,0.325,1037.1,595.4,0.673,1.49846,0.00085,14.852166
2285,2.5,1.696,0.53,1240.2,329.0,0.992,1.34133,0.0009,13.247966
2286,5.31,1.791,0.642,722.1,599.0,0.662,1.3748,0.00082,20.893215
2287,2.6,1.543,0.377,1775.6,389.7,0.953,1.3105,0.0008,15.795369
2288,2.39,1.974,0.205,363.0,568.8,0.734,0.78223,0.00065,23.418804
2289,6.79,1.17,0.312,1386.0,499.8,0.843,1.53397,0.00077,13.250218
2290,3.65,1.275,0.397,1569.3,485.3,0.86,1.39042,0.00099,14.069437
2291,2.58,1.789,0.517,1646.5,503.6,0.838,1.34133,0.00099,13.428447
2292,4.73,1.959,0.204,1055.2,333.3,0.99,0.95355,0.00089,16.658408
2293,2.32,1.583,0.268,421.4,475.8,0.872,1.10241,0.00077,17.77797
2294,2.08,1.205,0.453,536.2,309.1,1.0,1.22713,0.00089,15.080884
2295,8.75,1.795,0.602,825.4,561.2,0.749,1.50115,0.00084,11.419358
2296,5.42,1.575,0.272,1389.5,523.1,0.811,1.44594,0.00082,13.535329
2297,1.61,1.376,0.357,1561.7,548.7,0.771,1.16737,0.00095,16.307819
2298,5.99,1.33,0.359,1191.6,328.8,0.992,1.53917,0.00091,11.275187
2299,2.67,1.266,0.334,919.5,417.5,0.93,1.34468,0.0008,14.171759
2300,4.88,1.758,0.688,713.9,516.3,0.821,1.33586,0.00099,12.91208
2301,7.46,1.875,0.254,1018.6,544.3,0.779,1.4343,0.00083,13.530573
2302,5.64,1.114,0.303,1277.2,550.7,0.768,1.49058,0.00088,13.387524
2303,3.44,1.524,0.588,1522.7,527.6,0.805,1.25031,0.00101,14.518465
2304,6.59,1.963,0.758,700.5,580.2,0.71,1.36496,0.00093,12.210054
2305,4.26,1.108,0.392,978.5,310.9,1.0,1.3811,0.00078,13.956519
2306,5.24,1.35,0.383,1542.7,447.1,0.902,1.49471,0.00084,12.447321
2307,4.76,1.281,0.414,1530.9,465.6,0.883,1.42716,0.00082,13.348833
2308,1.8,1.763,0.708,443.5,564.3,0.743,1.12471,0.00087,15.983163
2309,1.86,1.598,0.344,747.0,478.0,0.869,1.15459,0.00072,16.403699
2310,2.57,1.269,0.434,769.0,304.2,1.002,1.32125,0.00085,13.887236
2311,5.23,1.289,0.524,615.0,442.7,0.907,1.28803,0.0009,14.946333
2312,8.53,1.802,0.597,1242.7,578.0,0.715,1.48263,0.00078,11.394204
2313,7.97,1.758,0.671,841.2,435.3,0.914,1.43752,0.00086,12.312365
2314,3.6,1.562,0.289,934.3,535.1,0.793,1.35207,0.00086,15.519991
2315,4.28,1.194,0.433,316.3,470.0,0.878,1.37179,0.00086,14.857145
2316,6.98,1.866,0.69,485.3,383.2,0.958,1.4815,0.00089,12.161977
2317,3.93,1.608,0.483,663.6,581.4,0.708,1.4328,0.00091,13.271813
2318,6.5,1.305,0.421,401.3,350.5,0.98,1.52465,0.00088,12.754576
2319,2.36,1.151,0.322,1509.5,385.5,0.956,1.29894,0.00094,22.679322
2320,8.52,1.075,0.356,1126.4,531.1,0.799,1.45059,0.0009,17.267952
2321,7.57,1.372,0.305,573.8,406.5,0.94,1.5938,0.00076,12.478842
2322,8.69,1.649,0.421,983.4,538.5,0.788,1.60042,0.00079,11.946062
